Genes,CAOV3,JHOS2,PEO1,PEO4,OAW28,COV504,JHOS4,CAOV4,NIHOVCAR3,SNU8,PEA1,59M,ES2
AKR1A1,1.000000054,0.999999998,1.000000018,1.000000022,0.999999997,1.000000007,1.000000011,0.999999978,1.000000012,1.000000006,0.999301993,0.999776601,0.999999994
SLC19A1,0.999993099,1.000000059,1.000000053,0.999881608,0.999887837,0.999858299,0.999995218,0.999988583,0.999922091,0.999900891,0.99987904,0.999870103,0.999676423
CRYL1,1.000000038,1.000000022,1.000000002,1.000000002,0.999999969,0.999690047,1.000000003,1.000000008,1.000000003,1.000000016,0.999301965,0.999776598,0.999999993
SLC4A1,1.000000031,1.000000015,1.000000012,1.000000019,0.999999986,1.000000018,1.000000001,0.999999999,1.000000042,1.000000084,0.999999976,1.000000003,0.999999993
DPEP1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
CYB5R1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
CSKMT,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
B3GALT4,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
ST3GAL6,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
MRM2,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
FGFR1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
GUCY2C,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
NADSYN1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
APOA5,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
CDK18,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
CBX1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
DIO3,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
STK19,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
NCOR1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
CYP2C8,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
