,,,,,,,,,,source_of_growth_rate,,,,,,,,,,,,
cell_line_in_2018_dataset,histoptye,ref,media,ref2,site,ref3,growth rate (g/gDW/hour),doubling time (hours),ref,Cam n1,Cam n2,Sam,Kate n1,Kate n2,Kate n3,Kate n4,,,,,,
CAOV3,HGSOC  ,"Barnes et al, 2021",DMEM,https://www.atcc.org/products/htb-75,ovary,Cellosaurus.org,0.023975066,41.71,Taylor lab,38.49,41.85,44.79,,,,,,,,,,
COV318,HGSOC  ,"Barnes et al, 2021",DMEM,"(Barretina et al., 2012)",ascites,Cellosaurus.org,0.026462027,37.79,Taylor lab,37.14,34.9,41.33,,,,,,,,,,
COV362,HGSOC  ,"Barnes et al, 2021",DMEM,"(Barretina et al., 2012)",pleural effusion,Cellosaurus.org,0.033707865,29.66666667,Taylor lab,27.08,30.93,30.99,,,,,,,,,,
COV644,MOC,Cellosaurus.org,DMEM,"(Barretina et al., 2012)",ovary,Cellosaurus.org,0.005319149,188,Cellosaurus.org,,,,,,,,,,,,,
OAW42,CCOC,"Barnes et al, 2021",DMEM,"(Barretina et al., 2012)",ascites,Cellosaurus.org,0.033500838,29.85,Cellosaurus.org,,,,,,,,,,,,,
FUOV1,HGSOC  ,"Barnes et al, 2021",DMEM:F12+10% FBS,https://www.dsmz.de/collection/catalogue/details/culture/ACC-444,ovary,Cellosaurus.org,,,None reliable reported,,,,,,,,,,,,,
JHOM1,LGSOC  ,"Barnes et al, 2021",DMEM:F12+10% FBS,"(Barretina et al., 2012)",ovary,Cellosaurus.org,0.016666667,60,Cellosaurus.org,,,,,,,,,,,,,
JHOC5,CCOC,"Barnes et al, 2021",DMEM:F12+10%FBS,"(Barretina et al., 2012)",ovary,Cellosaurus.org,0.019230769,52,Cellosaurus.org,,,,,,,,,,,,,
JHOM2B,MOC,"Barnes et al, 2021",DMEM:F12+10%FBS,"(Barretina et al., 2012)",ovary,Cellosaurus.org,,,None on cellosaurus,,,,,,,,,,,,,
JHOS2,HGSOC  ,"Barnes et al, 2021",DMEM:F12+10%FBS,"(Barretina et al., 2012)",lymph node,Cellosaurus.org,0.016393443,61,Cellosaurus.org,,,,,,,,,,,,,
JHOS4,HGSOC  ,"Barnes et al, 2021",DMEM:F12+10%FBS,"(Barretina et al., 2012)",peritoneum,Cellosaurus.org,0.014285714,70,Cellosaurus.org,,,,,,,,,,,,,
OV56,LGSOC  ,"Barnes et al, 2021",DMEM:F12+10%FBS,"(Barretina et al., 2012)",ascites,Cellosaurus.org,26.27166667,0.03806382,26.27166667,25.8,28.72,23.4,22.53,23.78,17.33,16.07,,,,,,
OV7,LGSOC  ,"Barnes et al, 2021",DMEM:F12+10%FBS,"(Barretina et al., 2012)",unspecified,Cellosaurus.org,0.009090909,110,Cellosaurus.org,,,,,,,,,,,,,
HEYA8,LGSOC  ,"Barnes et al, 2021",DMEM+1%MEM_vits_+1%MEM_NEAAs,PMID: 27147568,unspecified,Cellosaurus.org,0.0625,16,Cellosaurus.org,,,,,,,,,,,,,
SNU119,HGSOC  ,"Barnes et al, 2021",DMEM+1%MEM_vits_+1%MEM_NEAAs,,ascites,Cellosaurus.org,0.018867925,53,Cellosaurus.org,,,,,,,,,,,,,
59M,LGSOC  ,"Barnes et al, 2021",DMEM+2mMglutamine,http://www.cellbankaustralia.com/59m.html,ascites,Cellosaurus.org,0.020833333,48,Cellosaurus.org,,,,,,,,,,,,,
COV434,ENOC,Depmap.org,DMEM+2mMglutamine,https://www.culturecollections.org.uk/products/celllines/generalcell/detail.jsp?refId=07071909&collection=ecacc_gc,ovarian follicle; granulosa cell layer,Cellosaurus.org,0.041666667,24,Cellosaurus.org,,,,,,,,,,,,,
OAW28,HGSOC  ,"Barnes et al, 2021",DMEM+2mMglutamine,https://www.culturecollections.org.uk/products/celllines/generalcell/detail.jsp?refId=85101601&collection=ecacc_gc,ascites,Cellosaurus.org,0.027027027,37,Cellosaurus.org,,,,,,,,,,,,,
MCAS,MOC,"Barnes et al, 2021",EMEM+10%FBS,"(Barretina et al., 2012)",ascites,Cellosaurus.org,0.035087719,28.5,Cellosaurus.org,,,,,,,,,,,,,
