https://www.wisentbioproducts.com/en/classical-basal-media-liquid/141-medium-ose-1x.html,,,,,
Component,mg/L,g/L,reaction,lb,ub
Alanine,,0,HMR_9061,0,1000
L-Arginine-HCl,,0,HMR_9066,0,1000
L-Asparagine-H2O,,0,HMR_9062,0,1000
L-Cysteine-HCl-H2O,,0,HMR_9065,0,1000
Aspartate,,0,HMR_9070,0,1000
Glutamate,,0,HMR_9071,0,1000
Glycine,,0,HMR_9067,0,1000
L-Histidine-HCl-H2O,,0,HMR_9038,0,1000
Hydroxy-L-Proline,,0,EX_4hpro[e],0,1000
L-Isoleucine,,0,HMR_9039,0,1000
L-Leucine,,0,HMR_9040,0,1000
L-Lysine-HCL,,0,HMR_9041,0,1000
L-Methionine ,,0,HMR_9042,0,1000
L-Phenylalanine,,0,HMR_9043,0,1000
L-Proline,,0,HMR_9068,0,1000
L-Serine,,0,HMR_9069,0,1000
L-Threonine,,0,HMR_9044,0,1000
L-Tryptophan,,0,HMR_9045,0,1000
L-Tyrosine-2Na-2H2O,,0,HMR_9064,0,1000
L-Valine,,0,HMR_9046,0,1000
Ascorbic acid,,0,HMR_9158,0,1000
D-biotin,,0,HMR_9109,0,1000
choline (chloride),,0,HMR_9083,0,1000
Folic acid,,0,HMR_9146,0,1000
myo-Inositol,,0,HMR_9361,0,1000
nicotinamide,,0,HMR_9378,0,1000
D-Pantothenic acid.0.5Ca,,0,HMR_9145,0,1000
Pyridoxine-HCl,,0,HMR_9144,0,1000
Riboflavin,,0,HMR_9143,0,1000
D-Glucose,,0,HMR_9034,0,1000
Glutamine,,0,HMR_9063,0,1000
Thiamine hydrochloride,,0,HMR_9159,0,1000
Lipoic acid,,0,HMR_9167,0,1000
